categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,Titulo_proyecto,año
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,Prototipo de un Sistema de Alerta Temprana de Deserción Desde el Proceso de Admisión de Aspirantes de la Facultad de Ingeniería en la UNAC,2023
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,International Conference on Software Process Improvement 2024,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,Encuentro Interno de Semilleros de Investigación Facultad de Ingeniería 2024 -UNAC,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,5o Seminario Iberoamericano de Pensamiento Computacional,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,Encuentro Internacional de Profesionales de la Investigación y el Desarrollo Tecnológico,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,Futuro Digital: Avances y paradigmas tecnológicos,2020
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,XII SEMINARIO INTERNACIONAL DE CIENCIAS DE COMPUTACIÓN,2019
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Evento científico,"11th International Conference on Sciences, Technology and Social Sciences",2019
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Knowledge Transfer in Software Development Teams: a Gamification Strategy to Encourage Collaboration,2022
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Transferencia de conocimiento en equipos de desarrollo de software usando gamificación: un cuasiexperimento,2022
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Evaluating and Reporting Sustainability in Higher Education Institutions: Identification of Factors and Indicators,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Metodología de flujo de conocimiento (primera fase) aplicada la proceso de investigación científica con fines de visibilidad nacional e internacional en la Universidad de Medellín,2021
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Knowledge Transfer in Software Development Teams Using Gamification: A Systematic Literature Review,2020
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,ANALYSIS OF SPIRITUALITY AND RELIGIOSITY AMONG PRISONERS IN BUCARAMANGA PRISONS,2026
