Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Business Intelligence Prediction in SMEs based on Machine Learning Models Corporación Universitaria Adventista,2022
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,PETI Plan Estratégico de Tecnologías de la Información 2017-2019 Municipio de Bello - Antioquia Corporación Universitaria Adventista,2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internet of Things gateway and cloud architecture for air quality monitoring. Corporación Universitaria Adventista,2018
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at PSL Software Factory Corporación Universitaria Adventista,2018
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de conclusión de curso de perfeccionamiento/especialización,Metodologías Activas: Aprendizaje Basado en Retos Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Metodología Q.A y nuevos paradigmas en las pruebas del Software INSTITUCIÓN UNIVERSITARIA DE ENVIGADO,2010
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Sistema de Información para Gestión Promoción y Prevención en Salud en los programas de ExpoSalud UNAC Corporación Universitaria Adventista,2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,"Aplicación para estimular la ""Actividad Física UNAC Saludable"" usando realidad virtual aumentada Corporación Universitaria Adventista",2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Sistema de Información para IPS Universitaria Adventista Corporación Universitaria Adventista,2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Analisis de Datos en Promoción y Prevención en Salud usando Aprendizaje Automatico Corporación Universitaria Adventista,2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Sistema móvil de recomendación para evitar lesiones por uso indebido de máquinas en gimnasios usando realidad aumentada Corporación Universitaria Adventista,2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at CLICK IN Software Factory Corporación Universitaria Adventista,2017
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Luisa Fernanda Salazar Espinosa Internship at Salud Drive SAS Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Telemedicine mobile platform for nursering in enhancing lifestyle change in cardiac patients phase 2 Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at Consultoría Organizacional SAS Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Platform for order cycle and finished product warehouse at Vitarrico Food Industries Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at Softka Technologies and Ceiba Software Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at Softka Technologies Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at Cyclops SAS and Softka Technologies Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Cristhian David Mongui Sánchez Internship at Softka Technologies Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Luis Miguel Marriaga Montejo Internship at Softka Technologies Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Andrés Quinto Quinto Internship at Softka Technologies Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Migration of the IPS-42 ionosonde analysis module into a web application in Python Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Anngi Stefania Alvarado Bazán Internship at Softka Technologies Corporación Universitaria Adventista,2020
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at Cuemby and Grupo LPA Corporación Universitaria Adventista,2019
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Telemedicine web platform for nursering in enhancing lifestyle change in cardiac patients Corporación Universitaria Adventista,2019
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Use of scalable data mining techniques and supercomputing in health prediction UNIVERSIDAD CATOLICA LUIS AMIGO,2016
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Platform for order cycle at Vitarrico Food Industries Corporación Universitaria Adventista,2019
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Telemedicine mobile platform for nursering in enhancing lifestyle change in cardiac patients Corporación Universitaria Adventista,2019
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Design of Virtual Learning Objects for learning logic and computer programming UNIVERSIDAD CATOLICA LUIS AMIGO,2018
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Ecosystems and tools for DevOps automation and integration in the software life cycle UNIVERSIDAD CATOLICA LUIS AMIGO,2016
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Internship at Ceiba Software House SAS Corporación Universitaria Adventista,2019
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Design of Virtual learning Objects UNIVERSIDAD CATOLICA LUIS AMIGO,2016
Investigador Asociado,Walter Hugo Arboleda Mazo,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Mobile application recommender system for physical activity based in air quality monitoring with Internet of Things. Corporación Universitaria Adventista,2018
